roi_id	detector	crystal	module	x1	x2	y1	y2	mask_pixels	center	width	height	background	r-square	automatic_exclusion_reasons	q_ave	dq_ave	q_range	dq_range	automatic_accepted	final_exclusion_reasons	final_selected
lambda:HL-E3	lambda	HL-E3	HL	198	228	447	477	99	9684.204250067687	1.1586017986605428	64.34810472617743	-1.5898179357043387	0.9739118397631383		5.9604598243457465	0.3759534942851669	0.2538754777207606	0.014307772631711069	True		True
lambda:VU-A1	lambda	VU-A1	VU	309	339	22	52	61	9682.684080370975	0.7216720935817297	286.47395374841767	-1.8112905822623802	0.9454870752255202		7.268290224536292	0.3219295311272895	0.30422299343376924	0.012488761839695217	True		True
lambda:VU-A2	lambda	VU-A2	VU	380	410	62	92	23	9681.890546742885	0.5358965426745668	3776.3817480835	-41.72879704106819	0.9815154226340322		7.269362750771094	0.32184895753350856	0.30428649600327695	0.01248481242091981	True		True
lambda:VU-A3	lambda	VU-A3	VU	437	467	17	47	113	9683.783689144186	1.6215504400938336	31917.24196422427	-1738.2601744440776	0.9232357839237832		7.268687050926438	0.3219485131185033	0.304208041356671	0.012490895507687838	True		True
lambda:VU-B1	lambda	VU-B1	VU	283	313	60	90	239	9682.91077549236	3.659733748487298	184.84897668129244	-26.232437171736812	0.7566245696674572	fwhm_above_threshold;r_squared_below_threshold	6.837593431971326	0.3418776384224376	0.2875496242846092	0.013194991191974093	False	fwhm_above_threshold;r_squared_below_threshold	False
lambda:VU-B2	lambda	VU-B2	VU	367	397	35	65	128	9682.80796862077	1.0229505436159976	39323.662247551685	-911.3524431357935	0.9813760199258271		6.835666190418667	0.3419581656780784	0.2874782588041276	0.013197615234834592	True		True
lambda:VU-B3	lambda	VU-B3	VU	453	483	52	82	67	9683.340383495943	1.075694826835194	14125.417241536305	-419.3020979087097	0.9617511567456091		6.837738521169158	0.3418855519554501	0.28754262130377395	0.013195951499042735	True		True
lambda:VU-C1	lambda	VU-C1	VU	294	324	104	134	225	9683.591661523935	0.9661831669940903	261.9835928291528	-2.987123950224014	0.9682760277688277		6.382023583696715	0.36056688068984305	0.27000137748577746	0.013825441198977328	True		True
lambda:VU-C2	lambda	VU-C2	VU	373	403	108	138	212	9683.430240324224	1.1972932533350935	181.9227072538066	-3.4262765838706426	0.9398802633881799		6.3763979558127675	0.36077832883405975	0.2697907583463941	0.013832001392421911	True		True
lambda:VU-C3	lambda	VU-C3	VU	433	463	88	118	148	9683.461674097998	1.2030285127450204	51.55951321963817	-0.24567214993954478	0.9758991171597684		6.3819828841052795	0.3605643401094427	0.27000390250363093	0.013825103993244547	True		True
lambda:VU-D1	lambda	VU-D1	VU	288	318	162	192	223	9683.837197218834	1.300801789148065	220.73516689741854	-7.843458162304441	0.967714576540144		5.903105359649484	0.3779045001813155	0.25170645660828317	0.014364513708077287	True		True
lambda:VU-D2	lambda	VU-D2	VU	382	412	166	196	397	9682.592352126421	1.4277002229799414	5.752603831632283	1.2042066987023345	0.8366712696870287		5.8929725420602495	0.37821029436923626	0.2513637082732565	0.01437041156183222	True		True
lambda:VU-D3	lambda	VU-D3	VU	430	460	157	187	438	9682.658363415336	1.0484992679967013	9.001173077084532	1.235480515064778	0.9289833391364348		5.9027669966135745	0.37788015801129193	0.2517336515431383	0.01436092575766712	True		True
lambda:VU-E1	lambda	VU-E1	VU	281	311	208	238	218	9684.430690030555	1.6846905746376535	116.01677612037936	-6.041407108214761	0.9381867776164087		5.403026197799914	0.39383380228367076	0.23278287987121882	0.014795375172356129	True		True
lambda:VU-E2	lambda	VU-E2	VU	361	391	235	265	357	9682.212107617781	0.34869081776196775	2.4851197737123383	0.9697627152375453	0.4622725205532394	r_squared_below_threshold	5.387828816793004	0.39421989765503984	0.2322946561231074	0.014797710373594508	False	r_squared_below_threshold	False
lambda:VU-E3	lambda	VU-E3	VU	448	478	215	245	597	9683.597953754994	1.0824399951859165	6.24050158768843	1.1753297430456247	0.8392571823142161		5.40281003101113	0.3938156946961921	0.2328056739777038	0.014792356559389819	True		True
lambda:VD-A1	lambda	VD-A1	VD	296	326	288	318	151	9689.59477242542	0.07397825870892263	0.23824130448833988	0.31237887835968375	0.08058926085776652	r_squared_below_threshold	3.3950780181793467	0.4395300666117691	0.1603098983989546	0.014700519824991543	False	r_squared_below_threshold	False
lambda:VD-A2	lambda	VD-A2	VD	340	370	300	330	156	9680.9916700719	0.053326570015051096	0.2911920245890873	0.3217391900006653	0.08247243397318649	r_squared_below_threshold	3.3507763102710486	0.43999121676755765	0.1593469151049245	0.014568215569712883	False	r_squared_below_threshold	False
lambda:VD-A3	lambda	VD-A3	VD	441	471	276	306	119	9683.589346026678	0.0809531381480694	0.5341409792220325	0.23154894608082732	0.15851469109245475	r_squared_below_threshold	3.3942095613710577	0.43937009984415093	0.1606356119575616	0.01464779869570032	False	r_squared_below_threshold	False
lambda:VD-B1	lambda	VD-B1	VD	298	328	337	367	239	9682.191898193645	2.3726010805645465	0.5311285819688456	0.3701550191838312	0.29731238814257355	fwhm_above_threshold;r_squared_below_threshold	2.826789935883701	0.44750315446431427	0.14261024640343578	0.013528838785889952	False	fwhm_above_threshold;r_squared_below_threshold	False
lambda:VD-B2	lambda	VD-B2	VD	354	384	356	386	211	9682.167920003621	1.5674873101324749	0.5073988793504636	0.3721738751569918	0.23932853244228236	r_squared_below_threshold	2.770158675376405	0.4482060943086363	0.1409115409576951	0.013363894601824466	False	r_squared_below_threshold	False
lambda:VD-B3	lambda	VD-B3	VD	440	470	338	368	151	9681.52641804988	0.6724035936229268	0.31407993068951484	0.2969565343905693	0.0908621697610037	r_squared_below_threshold	2.8267175371509334	0.44748387037056975	0.142655217936698	0.013520581354476813	False	r_squared_below_threshold	False
lambda:VD-C1	lambda	VD-C1	VD	270	300	391	421	463	9681.524780009302	2.175770515206076	2.143197324669799	0.7607788396433508	0.6133254883245295	fwhm_above_threshold;r_squared_below_threshold	2.25635306628716	0.45356331105259184	0.12687017549991797	0.01111245255393728	False	fwhm_above_threshold;r_squared_below_threshold	False
lambda:VD-C2	lambda	VD-C2	VD	351	381	415	445	508	9680.816114898547	0.6254398835407909	43.20163077483135	0.2437267973120467	0.9705662437475943		2.1799602192886476	0.45417031788544104	0.12510561137961984	0.010605372711091798	True		True
lambda:VD-C3	lambda	VD-C3	VD	440	470	382	412	221	9680.30977430639	0.47382094390933105	2.180212349948444	0.38628058961625833	0.6157571913032123	r_squared_below_threshold	2.2562681692338953	0.45352351345148334	0.12697587021774037	0.011089373928031998	False	r_squared_below_threshold	False
